c1		c2		c1parents		c2parents		conf	match	alt_c1		alt_c2		ignored_c1
CORE:0000009	neutron	Wikidata:Q5142064	Neutron	CORE:0000007	subatomic particle	Wikidata:Q1114461|Wikidata:Q188784	comics character|superhero	low	neutron			Wikidata:Q12968611|Wikidata:Q2348|Wikidata:Q28975252	Neutron|neutron|neutron	
CORE:0000010	electron	Wikidata:Q12103724	Electron	CORE:0000007	subatomic particle	Wikidata:Q4830453	business	low	electron			Wikidata:Q14713641|Wikidata:Q21614124|Wikidata:Q2225|Wikidata:Q5358140|Wikidata:Q5358141|Wikidata:Q5358143|Wikidata:Q728487	Electron|Electron|electron|Electron|Electron|Electron|Electron	
CORE:0000010	electron	Wikidata:Q14713641	Electron	CORE:0000007	subatomic particle	Wikidata:Q498162	census-designated place	low	electron			Wikidata:Q12103724|Wikidata:Q21614124|Wikidata:Q2225|Wikidata:Q5358140|Wikidata:Q5358141|Wikidata:Q5358143|Wikidata:Q728487	Electron|Electron|electron|Electron|Electron|Electron|Electron	
CORE:0000010	electron	Wikidata:Q21614124	Electron	CORE:0000007	subatomic particle	Wikidata:Q271680	software framework	low	electron			Wikidata:Q12103724|Wikidata:Q14713641|Wikidata:Q2225|Wikidata:Q5358140|Wikidata:Q5358141|Wikidata:Q5358143|Wikidata:Q728487	Electron|Electron|electron|Electron|Electron|Electron|Electron	
CORE:0000010	electron	Wikidata:Q2225	electron	CORE:0000007	subatomic particle	Wikidata:Q22675015	type of quantum particle	low	electron			Wikidata:Q12103724|Wikidata:Q14713641|Wikidata:Q21614124|Wikidata:Q5358140|Wikidata:Q5358141|Wikidata:Q5358143|Wikidata:Q728487	Electron|Electron|Electron|Electron|Electron|Electron|Electron	
CORE:0000010	electron	Wikidata:Q5358140	Electron	CORE:0000007	subatomic particle	Wikidata:Q1114461|Wikidata:Q188784	comics character|superhero	low	electron			Wikidata:Q12103724|Wikidata:Q14713641|Wikidata:Q21614124|Wikidata:Q2225|Wikidata:Q5358141|Wikidata:Q5358143|Wikidata:Q728487	Electron|Electron|Electron|electron|Electron|Electron|Electron	
CORE:0000010	electron	Wikidata:Q5358141	Electron	CORE:0000007	subatomic particle	Wikidata:Q5	human	low	electron			Wikidata:Q12103724|Wikidata:Q14713641|Wikidata:Q21614124|Wikidata:Q2225|Wikidata:Q5358140|Wikidata:Q5358143|Wikidata:Q728487	Electron|Electron|Electron|electron|Electron|Electron|Electron	
CORE:0000010	electron	Wikidata:Q5358143	Electron	CORE:0000007	subatomic particle	Wikidata:Q3231690|Wikidata:Q850270	automobile model|concept car	low	electron			Wikidata:Q12103724|Wikidata:Q14713641|Wikidata:Q21614124|Wikidata:Q2225|Wikidata:Q5358140|Wikidata:Q5358141|Wikidata:Q728487	Electron|Electron|Electron|electron|Electron|Electron|Electron	
CORE:0000010	electron	Wikidata:Q728487	Electron	CORE:0000007	subatomic particle	Wikidata:Q16521	taxon	low	electron			Wikidata:Q12103724|Wikidata:Q14713641|Wikidata:Q21614124|Wikidata:Q2225|Wikidata:Q5358140|Wikidata:Q5358141|Wikidata:Q5358143	Electron|Electron|Electron|electron|Electron|Electron|Electron	
CORE:0000011	atom	Wikidata:Q1607053	Atom	CORE:0000006	material entity	Wikidata:Q1114461|Wikidata:Q188784	comics character|superhero	low	atom			Wikidata:Q16766305|Wikidata:Q1800709|Wikidata:Q20165647|Wikidata:Q267956|Wikidata:Q29719|Wikidata:Q40325709|Wikidata:Q4817193|Wikidata:Q4817196|Wikidata:Q4817198|Wikidata:Q5486899|Wikidata:Q5685120|Wikidata:Q59310616|Wikidata:Q9161734	Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom|Atom	
