?x	?xl
<http://purl.obolibrary.org/obo/ENVO_01000628>	"plant litter"@en
<http://purl.obolibrary.org/obo/ENVO_00002232>	"andosol"
<http://purl.obolibrary.org/obo/ENVO_01001563>	"quicksand"@en
<http://purl.obolibrary.org/obo/ENVO_00002193>	"pulp-bleaching waste water"
<http://purl.obolibrary.org/obo/ENVO_01000310>	"haline environment"
<http://purl.obolibrary.org/obo/ENVO_01001288>	"kaolin dust"@en
<http://purl.obolibrary.org/obo/ENVO_01001638>	"frost-susceptible soil"@en
<http://purl.obolibrary.org/obo/ENVO_3200055>	"concentration of thallium in snow"
<http://purl.obolibrary.org/obo/ENVO_01001425>	"cirrus castellanus cloud"@en
<http://purl.obolibrary.org/obo/ENVO_00002238>	"durisol"
<http://purl.obolibrary.org/obo/ENVO_00002984>	"petroleum"
<http://purl.obolibrary.org/obo/ENVO_01000316>	"alkaline environment"
<http://purl.obolibrary.org/obo/ENVO_00005751>	"jungle soil"
<http://purl.obolibrary.org/obo/ENVO_01000357>	"alkaline water"
<http://purl.obolibrary.org/obo/ENVO_01001151>	"proplyd"@en
<http://purl.obolibrary.org/obo/ENVO_00005757>	"bacteria enriched soil"
<http://purl.obolibrary.org/obo/ENVO_3100010>	"concentration of chlorophyllide a in liquid water"
<http://purl.obolibrary.org/obo/ENVO_00005792>	"underground water"
<http://purl.obolibrary.org/obo/ENVO_01000663>	"pumice"@en
<http://purl.obolibrary.org/obo/ENVO_01001282>	"silica dust"@en
<http://purl.obolibrary.org/obo/ENVO_00002142>	"borax leachate"
<http://purl.obolibrary.org/obo/ENVO_01001513>	"permafrost congelation ice"@en
<http://purl.obolibrary.org/obo/ENVO_03000069>	"young ice"@en
<http://purl.obolibrary.org/obo/ENVO_01000451>	"atmospheric carbon dioxide"
<http://purl.obolibrary.org/obo/ENVO_02000037>	"sebum material"
<http://purl.obolibrary.org/obo/ENVO_01000833>	"water droplet"@en
<http://purl.obolibrary.org/obo/ENVO_01000070>	"terrigenous sediment"
<http://purl.obolibrary.org/obo/ENVO_01001054>	"non-saline aerosol environment"@en
<http://purl.obolibrary.org/obo/ENVO_01000798>	"plasma"@en
<http://purl.obolibrary.org/obo/ENVO_00005798>	"acid dune sand"
<http://purl.obolibrary.org/obo/ENVO_01001123>	"dwarf gas planet"@en
<http://purl.obolibrary.org/obo/ENVO_00002273>	"fluvisol"
<http://purl.obolibrary.org/obo/ENVO_01000804>	"astronomical object"@en
<http://purl.obolibrary.org/obo/ENVO_00002258>	"loam"
<http://purl.obolibrary.org/obo/ENVO_03000007>	"blue ice"@en
<http://purl.obolibrary.org/obo/ENVO_01000964>	"industrial wastewater"@en
<http://purl.obolibrary.org/obo/ENVO_00002045>	"anaerobic sediment"
<http://purl.obolibrary.org/obo/ENVO_00002229>	"arenosol"
<http://purl.obolibrary.org/obo/ENVO_01000751>	"bedrock"@en
<http://purl.obolibrary.org/obo/ENVO_01000001>	"mud"
<http://purl.obolibrary.org/obo/ENVO_01000498>	"pole"
<http://purl.obolibrary.org/obo/ENVO_01000805>	"globular star cluster"@en
<http://purl.obolibrary.org/obo/ENVO_01001008>	"meteor"@en
<http://purl.obolibrary.org/obo/ENVO_01001142>	"iron planet"@en
