?x	?xl
<http://purl.obolibrary.org/obo/FBbt_00003599>	"abdominal 3 neuroblast NB3-5"
<http://purl.obolibrary.org/obo/FBbt_00002990>	"pupal ganglionic branch 1"
<http://purl.obolibrary.org/obo/FBbt_00110554>	"adult fruitless aSP4 (male) lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00111368>	"adult lobula plate astrocyte-like glial cell"
<http://purl.obolibrary.org/obo/FBbt_00004803>	"abdominal sternite 5"
<http://purl.obolibrary.org/obo/FBbt_00007059>	"anterior optic tubercle"
<http://purl.obolibrary.org/obo/FBbt_00001961>	"posterior deutocerebral neuromere"
<http://purl.obolibrary.org/obo/FBbt_00000536>	"mesothoracic ventral oblique muscle 1"
<http://purl.obolibrary.org/obo/FBbt_00010712>	"abdominal 2 temporary eclosion muscle VL1"
<http://purl.obolibrary.org/obo/FBbt_00001060>	"embryonic brain"
<http://purl.obolibrary.org/obo/FBbt_00000489>	"dorsal pharyngeal muscle"
<http://purl.obolibrary.org/obo/FBbt_00045008>	"pedunculus neck of adult mushroom body"
<http://purl.obolibrary.org/obo/FBbt_00005839>	"type I bouton"
<http://purl.obolibrary.org/obo/FBbt_00048496>	"larval subesophageal sensory compartment ACp"
<http://purl.obolibrary.org/obo/FBbt_00006010>	"gonadal somatic stem cell"
<http://purl.obolibrary.org/obo/FBbt_00111533>	"embryonic segment anterior compartment"
<http://purl.obolibrary.org/obo/FBbt_00007224>	"larval mushroom body calyx glomerulus"
<http://purl.obolibrary.org/obo/FBbt_00050044>	"neuroblast SLPpm1"
<http://purl.obolibrary.org/obo/FBbt_00000170>	"embryonic metathoracic segment"
<http://purl.obolibrary.org/obo/FBbt_00005520>	"fat body/gonad primordium"
<http://purl.obolibrary.org/obo/FBbt_00005028>	"tracheal metamere 3"
<http://purl.obolibrary.org/obo/FBbt_00111106>	"adult fruitless vAB1 lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00001045>	"embryonic/larval alary muscle 5"
<http://purl.obolibrary.org/obo/FBbt_00000227>	"dorsal trunk posterior branch 4"
<http://purl.obolibrary.org/obo/FBbt_00003889>	"lobula plate layer 4"
<http://purl.obolibrary.org/obo/FBbt_00007030>	"oocyte associated follicular epithelium"
<http://purl.obolibrary.org/obo/FBbt_00001210>	"lateral abdominal es2"
<http://purl.obolibrary.org/obo/FBbt_00110028>	"antennal lobe glomerulus VM7d"
<http://purl.obolibrary.org/obo/FBbt_00110604>	"adult fruitless aSP-i (male) lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00001802>	"anterior dorsal histoblast nest abdominal 5"
<http://purl.obolibrary.org/obo/FBbt_00014814>	"adult thoracic spiracle"
<http://purl.obolibrary.org/obo/FBbt_00007652>	"notopleural bristle precursor cell"
<http://purl.obolibrary.org/obo/FBbt_00000577>	"metathoracic lateral transverse muscle 2"
<http://purl.obolibrary.org/obo/FBbt_00110104>	"embryonic peripheral glial cell 1"
<http://purl.obolibrary.org/obo/FBbt_00003314>	"rotator muscle"
<http://purl.obolibrary.org/obo/FBbt_00111613>	"mesothoracic leg posterior compartment"
<http://purl.obolibrary.org/obo/FBbt_00004342>	"trichome of the posterior wing margin"
<http://purl.obolibrary.org/obo/FBbt_00111574>	"adult segment posterior compartment"
<http://purl.obolibrary.org/obo/FBbt_00003453>	"abdominal 1 oblique lateral dorsal longitudinal muscle 101"
<http://purl.obolibrary.org/obo/FBbt_00005968>	"dorsal tritocerebral neuroblast"
<http://purl.obolibrary.org/obo/FBbt_00003936>	"antennal lobe glomerulus VA1"
