?x	?xl
<http://purl.obolibrary.org/obo/PO_0007036>	"beginning of whole plant fruit ripening stage"
<http://purl.obolibrary.org/obo/PO_0006072>	"sepal mesophyll"
<http://purl.obolibrary.org/obo/PO_0004715>	"terminal inflorescence bud"
<http://purl.obolibrary.org/obo/PO_0006022>	"bundle sheath extension"
<http://purl.obolibrary.org/obo/PO_0025143>	"tepal apex"
<http://purl.obolibrary.org/obo/PO_0006415>	"pedicel of ear spikelet"
<http://purl.obolibrary.org/obo/PO_0006330>	"gynophore"
<http://purl.obolibrary.org/obo/PO_0007623>	"A megaspore mother cell enlarges stage"
<http://purl.obolibrary.org/obo/PO_0007103>	"LP.10 ten leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0025355>	"corm"
<http://purl.obolibrary.org/obo/PO_0001051>	"vascular leaf initiation stage"
<http://purl.obolibrary.org/obo/PO_0003017>	"root cap of primary root"
<http://purl.obolibrary.org/obo/PO_0004701>	"short shoot"
<http://purl.obolibrary.org/obo/PO_0008048>	"scutellar epithelium"
<http://purl.obolibrary.org/obo/PO_0025079>	"aerial tuber axillary shoot"
<http://purl.obolibrary.org/obo/PO_0030127>	"indeterminate thyrse inflorescence"
<http://purl.obolibrary.org/obo/PO_0030018>	"gametophore"
<http://purl.obolibrary.org/obo/PO_0009022>	"meristem L3 layer"
<http://purl.obolibrary.org/obo/PO_0000022>	"plant cuticle"
<http://purl.obolibrary.org/obo/PO_0005023>	"plant ovary outer epidermis"
<http://purl.obolibrary.org/obo/PO_0008019>	"leaf lamina base"
<http://purl.obolibrary.org/obo/PO_0000067>	"proteoid root"
<http://purl.obolibrary.org/obo/PO_0009056>	"flower nectary"
<http://purl.obolibrary.org/obo/PO_0025288>	"embryo coleorhiza"
<http://purl.obolibrary.org/obo/PO_0006049>	"scutellum epidermis"
<http://purl.obolibrary.org/obo/PO_0007086>	"SE.05 five nodes or internodes visible stage"
<http://purl.obolibrary.org/obo/PO_0025174>	"spine stipule"
<http://purl.obolibrary.org/obo/PO_0000039>	"shoot axis vascular system"
<http://purl.obolibrary.org/obo/PO_0030070>	"paraphysis"
<http://purl.obolibrary.org/obo/PO_0025065>	"root perimedullary zone"
<http://purl.obolibrary.org/obo/PO_0025336>	"transition phyllode leaf"
<http://purl.obolibrary.org/obo/PO_0025567>	"root system phloem sap"
<http://purl.obolibrary.org/obo/PO_0030078>	"rhizoid"
<http://purl.obolibrary.org/obo/PO_0006085>	"root meristem"
<http://purl.obolibrary.org/obo/PO_0007057>	"seed germination stage"
<http://purl.obolibrary.org/obo/PO_0025530>	"reproductive shoot system development stage"
<http://purl.obolibrary.org/obo/PO_0025272>	"plant ovary replum"
<http://purl.obolibrary.org/obo/PO_0030041>	"sporangium theca"
<http://purl.obolibrary.org/obo/PO_0025538>	"plant sap"
<http://purl.obolibrary.org/obo/PO_0020105>	"ligule"
<http://purl.obolibrary.org/obo/PO_0030049>	"sporangium wall endothecium"
<http://purl.obolibrary.org/obo/PO_0025046>	"shoot axis tuber epidermis"
<http://purl.obolibrary.org/obo/PO_0025573>	"non-vascular leaf development stage"
<http://purl.obolibrary.org/obo/PO_0025188>	"tepal trichome"
<http://purl.obolibrary.org/obo/PO_0004707>	"fruit dehiscence zone"
<http://purl.obolibrary.org/obo/PO_0006056>	"cotyledon epidermis"
<http://purl.obolibrary.org/obo/PO_0005648>	"palisade mesophyll"
